"Factuly_Id","Id_Number","Desire_Sequence","Desire_Id","Accepted"
"70","102020000001","1","1","FALSE"
"102","102020000001","2","2","FALSE"
"113","102020000001","3","3","FALSE"
"118","102020000001","4","4","FALSE"
"119","102020000001","5","5","FALSE"
"1","102020000030","1","6","FALSE"
"9","102020000030","3","7","FALSE"
"4","102020000030","4","8","FALSE"
"7","102020000030","5","9","FALSE"
"118","102020000030","2","10","FALSE"
"2","102020001509","2","11","FALSE"
"13","102020001509","1","12","FALSE"
"7","102020001509","3","13","FALSE"
"102","102020001509","4","14","FALSE"
"118","102020001509","5","15","FALSE"
"2","102020001835","1","16","FALSE"
"7","102020001835","2","17","FALSE"
"118","102020001835","5","18","FALSE"
"102","102020001835","3","19","FALSE"
"70","102020001835","4","20","FALSE"
"1","102020000003","1","21","FALSE"
"2","102020000003","4","22","FALSE"
"9","102020000003","2","23","FALSE"
"102","102020000003","3","24","FALSE"
"118","102020000003","5","25","FALSE"
"4","102020000005","1","26","FALSE"
"91","102020000005","3","27","FALSE"
"102","102020000005","2","28","FALSE"
"101","102020000005","4","29","FALSE"
"104","102020000005","5","30","FALSE"
"4","102020000009","1","31","FALSE"
"67","102020000009","2","32","FALSE"
"73","102020000009","4","33","FALSE"
"101","102020000009","3","34","FALSE"
"102","102020000009","5","35","FALSE"
"112","102020000058","2","36","FALSE"
"121","102020000058","1","37","FALSE"
"123","102020000058","5","38","FALSE"
"3","102020000058","3","39","FALSE"
"175","102020000058","4","40","FALSE"
"175","102020000074","1","41","FALSE"
"164","102020000074","2","42","FALSE"
"143","102020000074","3","43","FALSE"
"191","102020000090","2","44","FALSE"
"112","102020000090","1","45","FALSE"
"112","102020000112","1","46","FALSE"
"121","102020000112","5","47","FALSE"
"123","102020000112","4","48","FALSE"
"163","102020000112","3","49","FALSE"
"175","102020000112","2","50","FALSE"
