"الرمز","الكلية أو المعهد","السعة","الحد الأدنى المطلوب من الدرجات بعد طي علامة التربية الدينية و إحدى اللغتين","المدينة"
"1","السنة التحضيرية","3","2231","1"
"2","العلوم الصحية","1","2213","1"
"3","العلوم الصحية","3","2069","9"
"4","التمريض","3","1600","6"
"5","التمريض","3","1600","10"
"6","التمريض","1","1606","12"
"7","الطب البيطري","2","1798","4"
"8","الطب البيطري","3","1600","12"
"9","الهندسة المعلوماتية","1","2295","1"
"10","الهندسة المعلوماتية","3","2264","6"
"11","الهندسة المعلوماتية","1","2276","8"
"12","الهندسة المعلوماتية","3","2268","9"
"13","الكلية التطبيقية","3","2239","1"
"14","الكلية التطبيقية","2","2115","9"
"15","الكلية التطبيقية","1","2156","10"
"16","الهندسة المدنية","1","2263","1"
"17","الهندسة المدنية","3","2238","8"
"18","الهندسة المدنية","3","2210","10"
"19","الهندسة المدنية","1","2150","13"
"20","هندسة الكترونيات و اتصالات","3","2252","1"
"21","هندسة الحواسيب و الأتمتة","2","2229","1"
"22","هندسة الطاقة الكهربائية","2","2159","1"
"23","هندسة التصميم الميكانيكي","1","2100","1"
"24","الهندسة الطبية","2","2296","1"
"25","هندسة الميكانيك العام","2","2130","1"
"26","هندسة ميكانيك الصناعات النسيجية و تقاناتها","1","2040","1"
"27","هندسة السيارت و الآليات الثقيلة","2","2049","1"
"28","هندسة اتصالات","2","2170","6"
"29","هندسة الحواسيب","1","2112","6"
"30","هندسة إلكترونية","3","2073","6"
"31","هندسة الميكاترونيك","1","2100","6"
"32","هندسة الطيران","3","2040","6"
"33","هندسة الطاقة الميكانيكية","1","2000","6"
"34","هندسة الآلات الزراعية","3","1920","6"
"35","هندسة صناعية","2","1965","6"
"36","هندسة الطاقة الكهربائية","3","2130","8"
"37","هندسة اتصات والكترونيات","2","2218","8"
"38","هندسة الحاسبات والتحكم الآلي","1","2179","8"
"39","هندسة القوى الميكانيكية","3","2130","8"
"40","هندسة التصميم و الإنتاج","1","2130","8"
"41","الهندسة البحرية","2","2131","8"
"42","الهندسة الطبية","2","2300","8"
"43","هندسة الكترونيات واتصالات","3","2201","9"
"44","هندسة التحكم الآلي و الحواسيب","2","2152","9"
"45","هندسة الطاقة الكهربائية","3","2100","9"
"46","هندسة التصميم و الإنتاج","3","2042","9"
"47","هندسة الميكاترونيك","2","2100","9"
"48","هندسة تكنولوجيا المعلومات و الاتصات","2","2199","11"
"49","الكلية التطبيقية (الميكاترونكس)","3","2225","1"
"50","الكلية التطبيقية (تقانات الاتصالات)","2","2159","8"
"51","الهندسة المعمارية","2","2213","1"
"52","الهندسة المعمارية","2","2087","6"
"53","الهندسة المعمارية","3","2054","10"
"54","الهندسة المعمارية","1","2118","11"
"55","اقتصــــاد","2","2067","1"
"56","اقتصــــاد","1","1899","4"
"57","اقتصــــاد","2","1894","3"
"58","اقتصــــاد","2","2008","5"
"59","اقتصــــاد","2","1780","6"
"60","اقتصــــاد","1","1920","8"
"61","اقتصــــاد","1","1780","13"
"62","العلوم الإدارية","3","1686","7"
"63","الرياضيات","3","1920","1"
"64","الرياضيات","3","1840","3"
"65","الرياضيات","1","2091","4"
"66","الرياضيات","1","1829","5"
"67","الرياضيات","2","1601","6"
"68","الرياضيات","1","1922","12"
"69","الرياضيات","1","1610","13"
"70","الرياضيات","1","1344","14"
"71","الإحصاء الرياضي","1","1801","1"
"72","الإحصاء الرياضي","3","1966","6"
"73","الإحصاء الرياضي","1","1600","8"
"74","الإحصاء الرياضي","3","1600","9"
"75","الهندسة البترولية","1","2125","9"
"76","الهندسة الكيميائية","1","2100","9"
"77","هندسة الغزل و النسيج","3","2000","9"
"78","الهندسة البترولية","3","2100","12"
"79","هندسة الصناعات البتروكيميائية","3","2040","12"
"80","الزراعة","1","1920","1"
